date,description,amount,type,category
2024-01-02,"Monthly Salary Deposit",6500.00,income,"Payroll"
2024-01-03,"Metro Supermarket Grocery",-184.50,expense,"Groceries"
2024-01-05,"Electric Utility Bill",-125.00,expense,"Utilities"
2024-01-08,"Freelance Design Payment",1200.00,income,"Freelance"
2024-01-10,"High Street Pharmacy",-45.20,expense,"Healthcare"
2024-01-12,"Urban Coffee Roasters",-14.50,expense,"Dining"
2024-01-15,"Apartment Rent Payment",-1800.00,expense,"Housing"
2024-01-18,"Gas Station Refuel",-55.00,expense,"Transport"
2024-01-20,"Online Tech Course Subscription",-29.99,expense,"Education"
2024-01-25,"Consulting Milestone Fee",2400.00,income,"Consulting"
2024-01-28,"Restaurant Dinner with Family",-112.40,expense,"Dining"
2024-01-30,"Auto Insurance Monthly Premium",-135.00,expense,"Insurance"
2024-02-01,"Monthly Salary Deposit",6500.00,income,"Payroll"
2024-02-04,"Organic Farmers Market",-142.80,expense,"Groceries"
2024-02-07,"Internet & Fiber Broadband",-79.99,expense,"Utilities"
2024-02-10,"Side Client Consulting",1500.00,income,"Consulting"
2024-02-14,"Valentine Dinner & Flowers",-165.00,expense,"Dining"
2024-02-15,"Apartment Rent Payment",-1800.00,expense,"Housing"
2024-02-20,"Public Transit Pass Renewal",-90.00,expense,"Transport"
2024-02-25,"Gym Membership Annual",-450.00,expense,"Fitness"
2024-02-28,"Mobile Phone Plan Bill",-65.00,expense,"Utilities"
2024-03-01,"Monthly Salary Deposit",6500.00,income,"Payroll"
2024-03-05,"Wholesale Club Bulk Purchase",-310.50,expense,"Groceries"
2024-03-10,"Software License Renewal",-149.00,expense,"Services"
2024-03-15,"Apartment Rent Payment",-1800.00,expense,"Housing"
2024-03-20,"Car Service & Oil Change",-220.00,expense,"Maintenance"
2024-03-25,"Quarterly Bonus Payout",3200.00,income,"Bonus"
2024-03-29,"Savings Account Interest",48.20,income,"Interest"
