date,description,amount,type,category
2024-01-02,"Rideshare Weekly Earnings Deposit",420.00,income,"Gig Earnings"
2024-01-03,"Corner Grocery Store",-85.40,expense,"Groceries"
2024-01-05,"Fuel Station Refuel",-45.00,expense,"Transport"
2024-01-08,"Sub-letter Apartment Rent Share",-950.00,expense,"Housing"
2024-01-09,"Rideshare Weekly Earnings Deposit",390.00,income,"Gig Earnings"
2024-01-12,"Fast Food Lunch",-18.50,expense,"Dining"
2024-01-15,"Food Delivery Courier Payout",280.00,income,"Gig Earnings"
2024-01-16,"Mobile Phone Prepaid Renewal",-45.00,expense,"Utilities"
2024-01-20,"Rideshare Weekend Rush Payout",510.00,income,"Gig Earnings"
2024-01-22,"Car Repair & Brake Pads",-380.00,expense,"Maintenance"
2024-01-25,"Online Grocery Order",-112.00,expense,"Groceries"
2024-01-28,"Food Delivery Courier Payout",310.00,income,"Gig Earnings"
2024-01-30,"Credit Card Minimum Payment",-120.00,expense,"Debt"
2024-02-02,"Rideshare Weekly Earnings Deposit",440.00,income,"Gig Earnings"
2024-02-05,"Sub-letter Apartment Rent Share",-950.00,expense,"Housing"
2024-02-10,"Utility Electricity Bill",-85.00,expense,"Utilities"
2024-02-15,"Food Delivery Courier Payout",290.00,income,"Gig Earnings"
2024-02-20,"Fuel Station Refuel",-48.00,expense,"Transport"
